post,class,prediction,implicit_class
" the realist report :  "" holocaust "" "" museum receives $ 25 million donation """,not_hate,not_hate,
How do Autists deal with school? With a reeeeeeeeee-volver,implicit_hate,not_hate,inferiority
so  white lives don't matter to jews in nashville ?,implicit_hate,explicit_hate,irony
british tourists attacked by arab men in same cologne square as new years migrant attacks,not_hate,implicit_hate,
hillarys treason w / classified emails and obama and his illegal spying on the american people are the ones who should be in prison,not_hate,not_hate,
whites are adding other groups to increase their numbers . like jews .,not_hate,implicit_hate,
: media attack trump  insist it was necessary to kill hundreds of thousands of southerners via,not_hate,explicit_hate,
i hate all those traitors who block the streets of india to protest against #israeli bombing of palestine . buggers  go 2 palestine n protest,explicit_hate,explicit_hate,
they can openly call for killing cops and white people . any,implicit_hate,explicit_hate,white_grievance
are there really white people who still live in atlanta ?,not_hate,not_hate,
what bill mitchell portends via #altright,not_hate,implicit_hate,
or ... maybe your super thinks white people are the devil and won't fix your sink ?,implicit_hate,implicit_hate,irony
must stop issuing marriage licenses altogether,not_hate,not_hate,
i'm also a new mp . i too have to learn from seniors : pm at bjp workshop don't learn from a few,not_hate,not_hate,
trump white house goes after white people on,not_hate,not_hate,
: imagine thinking white peo,not_hate,not_hate,
bingo they act like they cannot tell the difference between a white supremacist and a white extremist extremist are very few supremacist are very many,not_hate,implicit_hate,
same-sex spouses get new federal rights  holder says via,not_hate,not_hate,
why are we letting them ? ? ? these are white liberals that are doing this ?,not_hate,implicit_hate,
the confusion is mistaking opposition 2 illegal immigration w / americas admiration for those legally coming here .,not_hate,not_hate,
reform yes. appeals no! illegal aliens have no rights!,implicit_hate,not_hate,threatening
" cerno and milo are a bigger threat to commie worldview . they don't know the arabic saying   "" """,not_hate,not_hate,
" after 50 years of race-based legal activism aimed at whites  when we organize to resist it  they say  "" white "" "" is not a valid group definition """,not_hate,implicit_hate,
organizations are what coordinate campaigns and mentors activists / lobbyists & future office holders . th,not_hate,not_hate,
white supremacy doesn't exist .,not_hate,not_hate,
( ( ( white man ) ) ),not_hate,not_hate,
i don't hate anyone . i hate some regressive political systems that oppress people .,not_hate,not_hate,
our native american senator  goofy elizabeth warren  couldnt care less about the american workerdoes nothing to help !,not_hate,implicit_hate,
adf clients asking #scotus to reject govt's arrogant argument that it understands their theology better than they do,not_hate,not_hate,
what is manipulation is getting whites to infighting and division .,not_hate,implicit_hate,
its about money  not christian love cost #refugee family $ 257481+ welfare + food stamps,implicit_hate,implicit_hate,stereotypical
is a totally bigoted and ignorant group for white supremacists and people espousing violent genocidal views .,not_hate,explicit_hate,
ted cruz on says trump missed the briefing on the klan / nazis always being bad,not_hate,not_hate,
: absolutely insane . government #corruption - #wpww #zog #nwo,not_hate,not_hate,
etan in the kkk ? i think so,not_hate,explicit_hate,
cnn too ? ? ? lol cnn already reported on uk no go,not_hate,not_hate,
kejriwal campaigned as anti-corruption crusader  ended up embracing lalu  the political don of corruption  now going down with him .,not_hate,not_hate,
"yes, and i think that their greater exposure to blacks is to account for much of this.",implicit_hate,implicit_hate,stereotypical
just wondering  how are your organizations feelings towards white people who affiliate themselves with non-white non-sympathizers ?,not_hate,not_hate,
conservatives failed donald trumps supporters : conservatives debate whether their policies failed white america,not_hate,implicit_hate,
you keep saying that but the standard of measure you use is a white racist one . tkcal,not_hate,not_hate,
will gay marriage kill puppies ?,not_hate,not_hate,
this gentleman sounds like me . only difference i white female . we all bleed same red blood . patriots bleed red white & blue hate the view !,not_hate,not_hate,
: trump is the ultimate example of how to lead a movement right now & idiots like wallace don't,explicit_hate,not_hate,
" rt in mein kampf hitler wrote :  "" i don't learn history  i let history teach me . "" "" - he was a genius . """,not_hate,explicit_hate,
funny italy and france don't use illegals to pick grapes.,implicit_hate,implicit_hate,irony
"She should be the employeer, and she needs to be a Mexican looking for a cleaning job.",implicit_hate,implicit_hate,stereotypical
" rt antifa idiots turn on each other .  "" you're white  you're inherently racist  it's in your blood  it's in your dna . "" "" this warms my heart . """,implicit_hate,implicit_hate,white_grievance
we're live to discuss the #scotus ruling in greece v . galloway ! join in here : #prayer,not_hate,not_hate,
" we should always be focusing on people on the fence . never  "" normies "" "" . there are people waiting to take """,not_hate,not_hate,
" rt  "" the lengths planned parenthood will go to in order to protect its abortion gold mine are nothing short of extreme . "" "" """,not_hate,not_hate,
" obama to immigration activists :  "" no force on earth can stop us "" "" #noamnesty #vine """,not_hate,not_hate,
great optics !,not_hate,not_hate,
white man 2016,not_hate,not_hate,
4 out of 5 white brits want less immigration via,not_hate,implicit_hate,
white guilt sacrificial lamb,not_hate,implicit_hate,
left-wing ' anti-hate ' splc cheated tax laws  says legal complaint via,not_hate,not_hate,
i don't know if democracy is to blame in and of itself . if people were put to a vote confederate monume,not_hate,not_hate,
the chairman of the is suhayda ? is an arab leading the white nationalists ?,not_hate,not_hate,
uh white lives matter ?,implicit_hate,not_hate,white_grievance
if only these different groups of people could have separate countries and move on with their lives .,not_hate,not_hate,
black on white crime unveiled : via,implicit_hate,implicit_hate,stereotypical
idk > graphic > mandela's rainbow nation : white woman raped then stoned by racist blacks ( video ) via,not_hate,explicit_hate,
your response is just emotional vomit . you'll lose on any substantive argument . taylor will not be stumped .,not_hate,not_hate,
they even pick on the white power ranger ...,not_hate,implicit_hate,
the choice is clear white folks : multiracial democracy or white nationalism ? #donaldtrump is our chance 2 choose . pick and prepare to fight,implicit_hate,implicit_hate,incitement
you need the white boogeyman to justify your failures,implicit_hate,implicit_hate,white_grievance
who is going to foot the bill when the white people are gone ?,implicit_hate,implicit_hate,stereotypical
" by  "" our people "" ""  i'm assuming you mean white people ... or certain white people anyway . just asking  because i'm called to give help to anyone who needs help or support . have you heard the story of the good samaritan ? """,not_hate,not_hate,
previous article hid his black race - but i knew it was a black male killing a young white woman,implicit_hate,implicit_hate,stereotypical
video : the story of pastor #freetobelieve,not_hate,not_hate,
yes  white people are the most pathetic people in the entire,explicit_hate,explicit_hate,
" oh noes ! tariffs - what a  "" chilling "" "" word ! it completely goes against what "" "" true conservatism "" "" is all about ! """,not_hate,not_hate,
white supremacy .,not_hate,explicit_hate,
one of my main fears about the independent report is that now that its released people will decide that they now know all there is to know and let it go at that .,not_hate,not_hate,
fuhrer was a genius ; see his analysis : adolf #hitler explains,implicit_hate,explicit_hate,incitement
er ist wieder da : the joke is on you | the occidental observer,not_hate,not_hate,
I didn't know that such a dark girl could be pretty.,implicit_hate,implicit_hate,inferiority
jackin it to the statue of david to uhhh save the white race,implicit_hate,explicit_hate,irony
this is a white identitarian group silly  no parasites here,implicit_hate,implicit_hate,inferiority
we n3ed to get black out of barnet,explicit_hate,explicit_hate,
and are you a white european aryan  because most of these hitler fan boys hate anybody that isn't ? ?,not_hate,implicit_hate,
it allows white people to be free of black crime !,implicit_hate,explicit_hate,inferiority
" purge cont'd - vanguard america - a uk group random accounts assoc w / white supremacist frog  "" groyper "" "" """,not_hate,explicit_hate,
is it british rule today ?,not_hate,not_hate,
following all walter's winsome americans . :),not_hate,not_hate,
diverse arkansas : white kid walking his dog  shot and killed for no reason by racist blacks via,implicit_hate,implicit_hate,stereotypical
#hoodsoff #opkkk,not_hate,explicit_hate,
karma for white supremacy is gonna be great ! ! !,not_hate,explicit_hate,
battlefield research on the eastern front : amazing metal detector finds relics of the waffen-ss #swrm,not_hate,not_hate,
" that isn't what  "" white "" "" meant in 1790 . """,not_hate,not_hate,
supreme court declines to review case of marine court-martialed over bible verse . via,not_hate,not_hate,
anti-white jewish activist hopes to wipe out finns via race mixing . #finland #soldiersofodin,implicit_hate,explicit_hate,stereotypical
retweeted elder lansing ( ): to loudmouth idiot and racist jemele hill ; potus trump isn't a white ...,not_hate,implicit_hate,
like white suprmacy is your crutch hence why you cling to it for dear life .,not_hate,implicit_hate,
look at this  some angry black person . you were right they're all violent .,implicit_hate,implicit_hate,stereotypical
pt1 is there a possibility that or might offer such a service ? non - #altright wouldn't be there  so ...,not_hate,not_hate,
" will  quick question : if a black guy decapitates a white guy bc the color of his race will your headline say a )  "" reparations "" "" or b ) "" "" we need to do more to listen the oppressed communities "" "" ? """,implicit_hate,explicit_hate,white_grievance
southern poverty law center lists > < white supremacist hate group read >,not_hate,explicit_hate,
there are christians all over the world and not all of then are white and no true christian supports white supremacy . only god is supreme !,not_hate,not_hate,
india ( population 1328 million  2016 gdp growth +7.5 % says imf  gdp larger than italy's ) wants a post-brexit free trade deal with the uk .,not_hate,not_hate,
' holocaust ' debate / comments / news glaring hypocrisy interview : wwii historian vincent reynouard : glaring ...,not_hate,not_hate,
american diversity work in progress : black teens kill white girl for bicycle via,implicit_hate,not_hate,stereotypical
#hatfields . this show looks to be typical jew produced anti-white american propaganda . = = = > #wv,explicit_hate,explicit_hate,
top cuck : trump's agriculture secretary vows to protect illegal crop migrants  blasts robotic techn via,implicit_hate,not_hate,inferiority
target isn't worried about conservchristians boycotting them . it will help keep white trash out of the store,not_hate,explicit_hate,
the antifa are white supremacist pretending to be against hate  but then spread fear to start war.we dont hate even when we disagree .,implicit_hate,implicit_hate,white_grievance
maybe all illegals in the usa could move to ca? #takethemall,implicit_hate,not_hate,inferiority
not all of em  just non-whites who came to white countries for a better life & then advocate the destruction of our race are our enemies .,not_hate,implicit_hate,
"Sorry , that must be my Black coming out.",implicit_hate,not_hate,inferiority
because it's the true heritage and origin of the white race ! ~,implicit_hate,implicit_hate,incitement
: evil !,not_hate,not_hate,
are the us and south korea planning to assassinate kim jong-un ?,not_hate,not_hate,
you are welcome . #defundppcall #prolife,not_hate,not_hate,
third world mongrels bring third world problems,explicit_hate,explicit_hate,
report : north texas white unity meeting via,not_hate,not_hate,
zionists : marxists ; socialists ( like the dsa ) ? ! liberalist  globalist ... islamist  lgbt  & multiculturalism . nexus genocide of white people,implicit_hate,explicit_hate,white_grievance
look it's nothing against hindus but it comes back to nationalism . every non white with a job here is a white out of work,implicit_hate,implicit_hate,stereotypical
srk was strip searched in usa because of the increase intolerance in india .,not_hate,not_hate,
what about the white on white crime ? ? ? why do you never talk about that ? ? ?,not_hate,not_hate,
showdown : how does stack up against evangelicals for marriage equality :,not_hate,not_hate,
the romans were racist towards other types of white people  let alone other races . it was a literal fascist empire w / a slave underclass .,not_hate,implicit_hate,
yup  they look like legal good citizens .,not_hate,not_hate,
my white neigborhood is still white in the center of chicago because of street theater,not_hate,implicit_hate,
: i despise the lying  fascist  racist  bigoted  hate-mongers ppl who are .,not_hate,explicit_hate,
we do not have to except unvetted immigrants obama's scheme to alter america's make up ..,implicit_hate,explicit_hate,incitement
oh  are you an archaeologist ? i can assure you that ancient egyptians were white .,not_hate,implicit_hate,
"don't they realise if they pull the trigger, they're going to lose badly?i hope they do it, we need a good culling anyway.",implicit_hate,explicit_hate,threatening
white people kill each other more ! whites killed other whites in world 1-2,not_hate,implicit_hate,
indian muslim owaisi pledging indian muslims support to pakistan in case of indo-pak war . your take sir ?,not_hate,not_hate,
that is patently untrue . everyone is not equal in talents  and america was created as a homeland for white people .,not_hate,explicit_hate,
politics history and videya are my hobbycalling people racist with no claim is not unlike you,not_hate,not_hate,
white bread cool,not_hate,not_hate,
never knew people would self identify as white nationalist . usually your type in white sheets . you are disgusting,not_hate,explicit_hate,
says are white supremists because they fight for legal immigration only ? #lunatic,not_hate,implicit_hate,
no ! mexico is going to pay for it,not_hate,explicit_hate,
so congress & bjp are equal as per then he & are definately equal to dance bar artists,not_hate,not_hate,
white people !,not_hate,not_hate,
tally canadian non-racist white expat non-performing ceo's sacked in south africa now at 3 : cynthia car,not_hate,implicit_hate,
stop the white genocide in south africa ! ( video ) via #whiteresister,implicit_hate,explicit_hate,white_grievance
" democracy is being governed by a  "" majority "" "" of wealthy jews and their non-white identity group lackeys """,implicit_hate,implicit_hate,stereotypical
million dollar question ? where are all the white people ? it's all about votes . if the white voters gave,not_hate,implicit_hate,
ws irony.ur really an idiot porkistop burning hindus christian alive in pakistan,implicit_hate,not_hate,stereotypical
the only known recording of adolf hitler's normal speaking voice #swrm #adolf #hitler #speakingvoice,not_hate,implicit_hate,
how dare white people want to exist as a race ! that is racism unless it's a non-white race wanting to think tribally ! those bigots !,implicit_hate,implicit_hate,white_grievance
fun fact snopes is totally biased run by a liberal couple that push lib . agenda ! they also are bankrupt and divorcing due to possible fraud,not_hate,implicit_hate,
jesus was a jew  you fucktards ! you're going to endure the great white throne judgment and not stand condemned  you whoremongers ?,explicit_hate,explicit_hate,
cernovich claims he's a jew---it sure shows . #lol .,implicit_hate,implicit_hate,stereotypical
welcome to secular germany . vote bank politics of #merkelthis is what brought to india in last 60 years,not_hate,not_hate,
not afraid of the dark : watch russian bombers in night action targetting syrian terrorists,not_hate,not_hate,
dogs and pigs are talking of removal of us prsident ! ! suicidal for white race,implicit_hate,explicit_hate,inferiority
palestinians exists like texans or egyptians exist . human rights  including residency  don't depend on race or religion .,not_hate,not_hate,
oh look at that  white privilege ! not .,not_hate,implicit_hate,
it's not that we don't agree with you . it's that we want a strategy to engage the sympathies of normie white america,not_hate,implicit_hate,
black people aren't our enemies either . they're being exploited just as much by the jews .,implicit_hate,implicit_hate,stereotypical
trump to protect little sisters of the poor in religious liberty move #letthemserve,not_hate,not_hate,
koran licking retards !,explicit_hate,explicit_hate,
violent white nationalist protests prompt state of emergency in virginia,not_hate,not_hate,
great idea . let's get this wall built . way to go . #buildthewall,not_hate,not_hate,
they do know that not all american citizens are white males,not_hate,not_hate,
hang in there - - help is on the way ! donald j trump has always loved r-usa - 4 - the people !,not_hate,not_hate,
every one of these riots knocks down the idea that charlottesville was some kind of unique threat to the nation .,not_hate,implicit_hate,
: ethnic norwegians disappearing as non-white colonization intensifies,not_hate,implicit_hate,
" if by  "" cucking "" "" you mean having good optics  then i call bsshitty optics wouldn't have made it any better """,not_hate,not_hate,
it's being covered and documented . it went from alt right to white nationalists to white su,not_hate,not_hate,
maybe you should focus on going after white supremecist groups . they kill more americans .,not_hate,not_hate,
thoughts on capitalism while we're in the midst of this ideological separation of the alt right ?,not_hate,not_hate,
the kids need deported with the parents illegals are illegals regardless of age,implicit_hate,explicit_hate,threatening
You're a girl. You're not expected to know where it is.,implicit_hate,not_hate,other
people who think an elected official really has control of these things lol,not_hate,not_hate,
"such a travesty that $$ we spend on illegals for their subsistence in the u.s., could be spent on our veterans!",implicit_hate,implicit_hate,inferiority
imagine nato member with russian hardware,not_hate,not_hate,
